#a space in the path is not allowed.
#name path inName groundtruthName startFrame endFrame nz(format 0001.jpg) ext

soccer E:\Research\Data\vtb2.0\DataSet\soccer\ img groundtruth_rect.txt 1 392 4 jpg
matrix E:\Research\Data\vtb2.0\DataSet\matrix\ img groundtruth_rect.txt 1 100 4 jpg
ironman E:\Research\Data\vtb2.0\DataSet\ironman\ img groundtruth_rect.txt 1 166 4 jpg
deer E:\Research\Data\vtb2.0\DataSet\deer\ img groundtruth_rect.txt 1 71 4 jpg
skating1 E:\Research\Data\vtb2.0\DataSet\skating1\ img groundtruth_rect.txt 1 400 4 jpg
shaking E:\Research\Data\vtb2.0\DataSet\shaking\ img groundtruth_rect.txt 1 365 4 jpg
singer1 E:\Research\Data\vtb2.0\DataSet\singer1\ img groundtruth_rect.txt 1 351 4 jpg
singer2 E:\Research\Data\vtb2.0\DataSet\singer2\ img groundtruth_rect.txt 1 366 4 jpg
carDark E:\Research\Data\vtb2.0\DataSet\carDark\ img groundtruth_rect.txt 1 393 4 jpg
car4 E:\Research\Data\vtb2.0\DataSet\car4\ img groundtruth_rect.txt 1 659 4 jpg
david E:\Research\Data\vtb2.0\DataSet\david\ img groundtruth_rect.txt 300 770 4 jpg
david2 E:\Research\Data\vtb2.0\DataSet\david2\ img groundtruth_rect.txt 1 537 4 jpg
sylvester E:\Research\Data\vtb2.0\DataSet\sylvester\ img groundtruth_rect.txt 1 1345 4 jpg
trellis E:\Research\Data\vtb2.0\DataSet\trellis\ img groundtruth_rect.txt 1 569 4 jpg
fish E:\Research\Data\vtb2.0\DataSet\fish\ img groundtruth_rect.txt 1 476 4 jpg
mhyang E:\Research\Data\vtb2.0\DataSet\mhyang\ img groundtruth_rect.txt 1 1490 4 jpg
coke E:\Research\Data\vtb2.0\DataSet\coke\ img groundtruth_rect.txt 1 291 4 jpg
bolt E:\Research\Data\vtb2.0\DataSet\bolt\ img groundtruth_rect.txt 1 350 4 jpg
boy E:\Research\Data\vtb2.0\DataSet\boy\ img groundtruth_rect.txt 1 602 4 jpg
dudek E:\Research\Data\vtb2.0\DataSet\dudek\ img groundtruth_rect.txt 1 1145 4 jpg
crossing E:\Research\Data\vtb2.0\DataSet\crossing\ img groundtruth_rect.txt 1 120 4 jpg
couple E:\Research\Data\vtb2.0\DataSet\couple\ img groundtruth_rect.txt 1 140 4 jpg
football1 E:\Research\Data\vtb2.0\DataSet\football1\ img groundtruth_rect.txt 1 74 4 jpg
jogging-1 E:\Research\Data\vtb2.0\DataSet\jogging\ img groundtruth_rect.1.txt 1 307 4 jpg
jogging-2 E:\Research\Data\vtb2.0\DataSet\jogging\ img groundtruth_rect.2.txt 1 307 4 jpg
doll E:\Research\Data\vtb2.0\DataSet\doll\ img groundtruth_rect.txt 1 3872 4 jpg
girl E:\Research\Data\vtb2.0\DataSet\girl\ img groundtruth_rect.txt 1 500 4 jpg
walking2 E:\Research\Data\vtb2.0\DataSet\walking2\ img groundtruth_rect.txt 1 500 4 jpg
walking E:\Research\Data\vtb2.0\DataSet\walking\ img groundtruth_rect.txt 1 412 4 jpg
fleetface E:\Research\Data\vtb2.0\DataSet\fleetface\ img groundtruth_rect.txt 1 707 4 jpg
freeman1 E:\Research\Data\vtb2.0\DataSet\freeman1\ img groundtruth_rect.txt 1 326 4 jpg
freeman3 E:\Research\Data\vtb2.0\DataSet\freeman3\ img groundtruth_rect.txt 1 460 4 jpg
freeman4 E:\Research\Data\vtb2.0\DataSet\freeman4\ img groundtruth_rect.txt 1 283 4 jpg
david3 E:\Research\Data\vtb2.0\DataSet\david3\ img groundtruth_rect.txt 1 252 4 jpg
jumping E:\Research\Data\vtb2.0\DataSet\jumping\ img groundtruth_rect.txt 1 313 4 jpg
carScale E:\Research\Data\vtb2.0\DataSet\carScale\ img groundtruth_rect.txt 1 252 4 jpg
skiing E:\Research\Data\vtb2.0\DataSet\skiing\ img groundtruth_rect.txt 1 81 4 jpg
dog1 E:\Research\Data\vtb2.0\DataSet\dog1\ img groundtruth_rect.txt 1 1350 4 jpg
suv E:\Research\Data\vtb2.0\DataSet\suv\ img groundtruth_rect.txt 1 945 4 jpg
motorRolling E:\Research\Data\vtb2.0\DataSet\motorRolling\ img groundtruth_rect.txt 1 164 4 jpg
mountainBike E:\Research\Data\vtb2.0\DataSet\mountainBike\ img groundtruth_rect.txt 1 228 4 jpg
lemming E:\Research\Data\vtb2.0\DataSet\lemming\ img groundtruth_rect.txt 1 1336 4 jpg
liquor E:\Research\Data\vtb2.0\DataSet\liquor\ img groundtruth_rect.txt 1 1741 4 jpg
woman E:\Research\Data\vtb2.0\DataSet\woman\ img groundtruth_rect.txt 1 597 4 jpg
faceocc1 E:\Research\Data\vtb2.0\DataSet\faceocc1\ img groundtruth_rect.txt 1 892 4 jpg
faceocc2 E:\Research\Data\vtb2.0\DataSet\faceocc2\ img groundtruth_rect.txt 1 812 4 jpg
basketball E:\Research\Data\vtb2.0\DataSet\basketball\ img groundtruth_rect.txt 1 725 4 jpg
football E:\Research\Data\vtb2.0\DataSet\football\ img groundtruth_rect.txt 1 362 4 jpg
subway E:\Research\Data\vtb2.0\DataSet\subway\ img groundtruth_rect.txt 1 175 4 jpg
tiger1 E:\Research\Data\vtb2.0\DataSet\tiger1\ img groundtruth_rect.txt 1 354 4 jpg
tiger2 E:\Research\Data\vtb2.0\DataSet\tiger2\ img groundtruth_rect.txt 1 365 4 jpg
